Catalog of Solar Eclipses: 2001 to 2100


                      TD of
Catalog  Calendar   Greatest          Luna Saros Ecl.               Ecl.            Sun Path  Central
Number     Date      Eclipse    ΔT     Num  Num  Type QLE  Gamma    Mag.   Lat Long Alt Width   Dur.
                                 s                                          °    °    °   km

09511  2001 Jun 21  12:04:46     64     18  127   T   -p  -0.5701  1.0495  11S   3E  55  200  04m57s
09512  2001 Dec 14  20:53:01     64     24  132   A   -n   0.4089  0.9681   1N 131W  66  126  03m53s
09513  2002 Jun 10  23:45:22     64     30  137   A   nn   0.1993  0.9962  35N 179W  78   13  00m23s
09514  2002 Dec 04  07:32:16     64     36  142   T   n-  -0.3020  1.0244  39S  60E  72   87  02m04s
09515  2003 May 31  04:09:22     64     42  147   An  t-   0.9960  0.9384  67N  24W   3   -   03m37s
09516  2003 Nov 23  22:50:22     64     48  152   T   t-  -0.9638  1.0379  73S  88E  15  495  01m57s
09517  2004 Apr 19  13:35:05     65     53  119   P   -t  -1.1335  0.7367  62S  44E   0             
09518  2004 Oct 14  03:00:23     65     59  124   P   -t   1.0348  0.9282  61N 154W   0             
09519  2005 Apr 08  20:36:51     65     65  129   H   -n  -0.3473  1.0074  11S 119W  70   27  00m42s
09520  2005 Oct 03  10:32:47     65     71  134   A   -p   0.3306  0.9576  13N  29E  71  162  04m32s

09521  2006 Mar 29  10:12:23     65     77  139   T   n-   0.3843  1.0515  23N  17E  67  184  04m07s
09522  2006 Sep 22  11:41:16     65     83  144   A   p-  -0.4062  0.9352  21S   9W  66  261  07m09s
09523  2007 Mar 19  02:32:57     65     89  149   P   t-   1.0728  0.8756  61N  55E   0             
09524  2007 Sep 11  12:32:24     66     95  154   P   t-  -1.1255  0.7507  61S  90W   0             
09525  2008 Feb 07  03:56:10     66    100  121   A   -t  -0.9570  0.9650  68S 150W  16  444  02m12s
09526  2008 Aug 01  10:22:12     66    106  126   T   -p   0.8307  1.0394  66N  72E  34  237  02m27s
09527  2009 Jan 26  07:59:45     66    112  131   A   -n  -0.2820  0.9282  34S  70E  73  280  07m54s
