Catalog of Solar Eclipses: 1901 to 2000


                      TD of
Catalog  Calendar   Greatest          Luna Saros Ecl.               Ecl.            Sun Path  Central
Number     Date      Eclipse    ΔT     Num  Num  Type QLE  Gamma    Mag.   Lat Long Alt Width   Dur.
                                 s                                          °    °    °   km

09283  1901 May 18  05:33:48     -1  -1220  136   T   n-  -0.3626  1.0680   2S  98E  69  238  06m29s
09284  1901 Nov 11  07:28:21     -0  -1214  141   A   p-   0.4758  0.9216  11N  69E  62  336  11m01s
09285  1902 Apr 08  14:05:06      0  -1209  108   Pe  -t   1.5024  0.0643  72N 142W   0             
09286  1902 May 07  22:34:16      0  -1208  146   P   t-  -1.0831  0.8593  70S 125W   0             
09287  1902 Oct 31  08:00:18      1  -1202  151   P   t-   1.1556  0.6960  71N 101E   0             
09288  1903 Mar 29  01:35:23      2  -1197  118   A   -p   0.8413  0.9767  56N 130E  32  153  01m53s
09289  1903 Sep 21  04:39:52      2  -1191  123   T   -p  -0.8967  1.0316  58S  77E  26  241  02m12s
09290  1904 Mar 17  05:40:44      3  -1185  128   A   nn   0.1299  0.9367   6N  95E  82  237  08m07s
09291  1904 Sep 09  20:44:21      3  -1179  133   T   -n  -0.1625  1.0709   4S 135W  81  234  06m20s
09292  1905 Mar 06  05:12:26      4  -1173  138   A   p-  -0.5768  0.9269  40S 117E  55  334  07m58s

09293  1905 Aug 30  13:07:26      5  -1167  143   T   p-   0.5708  1.0477  42N   4W  55  192  03m46s
09294  1906 Feb 23  07:43:20      5  -1161  148   P   t-  -1.2479  0.5386  71S 170W   0             
09295  1906 Jul 21  13:14:19      6  -1156  115   P   -t  -1.3637  0.3355  69S  33W   0             
09296  1906 Aug 20  01:12:50      6  -1155  153   P   t-   1.3731  0.3147  71N  66W   0             
09297  1907 Jan 14  06:05:43      6  -1150  120   T   -p   0.8628  1.0281  38N  86E  30  189  02m25s
09298  1907 Jul 10  15:24:32      7  -1144  125   A   -p  -0.6313  0.9456  17S  51W  51  258  07m23s
09299  1908 Jan 03  21:45:22      8  -1138  130   T   -n   0.1934  1.0437  12S 145W  79  149  04m14s
09300  1908 Jun 28  16:29:51      8  -1132  135   A   nn   0.1389  0.9655  31N  67W  82  126  04m00s
09301  1908 Dec 23  11:44:28      9  -1126  140   H   n-  -0.4985  1.0024  53S   1W  60   10  00m12s
09302  1909 Jun 17  23:18:38     10  -1120  145   H   t-   0.8957  1.0065  83N 124E  26   51  00m24s

09303  1909 Dec 12  19:44:48     10  -1114  150   P   t-  -1.2456  0.5424  65S  86E   0             
09304  1910 May 09  05:42:13     11  -1109  117   T   -t  -0.9437  1.0600  48S 125E  19  594  04m15s
09305  1910 Nov 02  02:08:32     12  -1103  122   P   -t   1.0603  0.8515  62N 155W   0             
09306  1911 Apr 28  22:27:22     12  -1097  127   T   -n  -0.2294  1.0562   2N 152W  77  190  04m57s
09307  1911 Oct 22  04:13:02     13  -1091  132   A   -n   0.3224  0.9650   6N 121E  71  133  03m47s
09308  1912 Apr 17  11:34:22     14  -1085  137   H   p-   0.5280  1.0003  38N  11W  58    1  00m02s
